,Odorant,Odor,CAS No.
0,trimethylamine,fish,75-50-3
1,ethanal,"pungent, ether",75-07-0
2,methanethiol,"sulfur, gasoline, garlic",74-93-1
3,propanal,"solvent, pungent",123-38-6
4,pentane,alkane,109-66-0
5,propanol,"alcohol, pungent",71-23-8
6,dimethyl sulfide,"cabbage, sulfur, gasoline",75-18-3
7,ethyl formate,pungent,109-94-4
8,methyl ethyl ketone,ether,78-93-3
9,methyl ethyl sulfide,"sulfur, garlic",624-89-5
10,hexane,alkane,110-54-3
11,ethyl acetate,pineapple,141-78-6
12,methylbutenol,herb,115-18-4
13,pentanone,ether,96-22-0
14,isobutanol,"wine, solvent, bitter",78-83-1
15,trans-crotonaldehyde,flower,123-73-9
16,methylpentanone,mint,565-69-5
17,methylbutanal,"cocoa, almond",96-17-3
18,methylbutanal,malt,590-86-3
19,pyrrolidine,alkaline,123-75-1
20,ethanol,sweet,64-17-5
21,thiophene,garlic,110-02-1
22,propanoic acid,"pungent, rancid, soy",79-09-4
23,diacetyl,butter,431-03-8
24,methyl methylbutanoate,apple,556-24-1
25,butanol,"medicine, fruit",71-36-3
26,butanol,wine,78-92-2
27,mercaptoacetaldehyde,cabbage,4124-63-4
28,butanal,"pungent, green",123-72-8
29,pentenone,"fish, pungent",1629-58-9
30,methyl methylpropanoate,flower,547-63-7
31,methyl thiocyanate,sulfur,556-64-9
32,"2,3-pentadione","cream, butter",600-14-6
33,pentenol,"butter, pungent",616-25-1
34,butyric acid,"rancid, cheese, sweat",107-92-6
35,hexanone,"ether, grape",589-38-8
36,"alpha,Î³-dimethylallyl alcohol","green, vinyl",1569-50-2
37,ethyl propionate,fruit,105-37-3
38,heptane,alkane,142-82-5
39,acetoin,"butter, cream",513-86-0
40,methyl butanoate,"ether, fruit, sweet",623-42-7
41,acetic acid,sour,64-19-7
42,diethyl acetal,"fruit, cream",105-57-7
43,2-methyl-1-butanol,malt,1565-80-6
44,dimethyl disulfide,"onion, cabbage, putrid",624-92-0
45,hexanone,ether,591-78-6
46,methyl-2-butenal,"green, fruit",1115-11-3
47,3-methyl-1-butanol,"whiskey, malt, burnt",123-51-3
48,pentanone,"ether, fruit",107-87-9
49,pentenal,"strawberry, fruit, tomato",1576-87-0
50,2-methyl-1-butanol,"wine, onion",137-32-6
51,pentanol,fruit,584-02-1
52,fucoserratene,"green, plastic",33580-05-1
